report_number,occur_date,location,ucr_literal,neighborhood,latitude,longitude
150110616,2015-01-11,1700 STANTON RD SW,AGG ASSAULT,None,33.709070000000004,-84.44364
150122767,2015-01-12,22 BENNETT ST NW,AUTO THEFT,Brookwood Hills,33.81203,-84.3931
150121389,2015-01-12,225 OTTLEY DR NE,LARCENY-NON VEHICLE,Brookwood Hills,33.80927,-84.38043
150131854,2015-01-13,1715 RALPH D ABERNATHY BLVD SW,BURGLARY-RESIDENCE,Westview,33.74919000000001,-84.44318
150132135,2015-01-13,3280 NORTHSIDE PKWY,BURGLARY-RESIDENCE,None,33.844809999999995,-84.42601999999998
150132607,2015-01-13,2290 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.81671,-84.39005
150131602,2015-01-13,4610 WILSON JAMES RD SW ,ROBBERY-PEDESTRIAN,None,33.69747,-84.5389
150141431,2015-01-14,2020 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.809909999999995,-84.39360999999998
150151356,2015-01-15,3280 NORTHSIDE PKWY NW,BURGLARY-RESIDENCE,None,33.844809999999995,-84.42601999999998
150150989,2015-01-14,3217 WESTPORT WAY SW,LARCENY-FROM VEHICLE,None,33.74445,-84.49168
150150990,2015-01-12,1500 KEY ROAD,LARCENY-FROM VEHICLE,Eastland Heights,33.70429,-84.3328
150150987,2015-01-15,3006 DELMAR LN NW,AUTO THEFT,Stratford,33.75524,-84.48542999999998
150151024,2015-01-14,3381 GREENBRIAR PKWY SW,AUTO THEFT,None,33.68403,-84.50216
150172249,2015-01-17,2045 GRAHAM CIR SE,BURGLARY-RESIDENCE,Eastland Heights,33.72702,-84.32212
150163224,2015-01-16,2980 DELMAR LN NW,AGG ASSAULT,Stratford,33.75517,-84.48480999999998
150172060,2015-01-17,2325 MARIETTA BLVD NW,LARCENY-NON VEHICLE,None,33.82065,-84.45274
150182349,2015-01-18,3020 DELMAR LN MW,AGG ASSAULT,Stratford,33.75517,-84.48578999999998
150190911,2015-01-18,4004 MELVIN DR SW,BURGLARY-NONRES,None,33.70786,-84.51896999999998
150191565,2015-01-19,2020 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.809909999999995,-84.39360999999998
150190864,2015-01-17,62 HARWELL RD,AUTO THEFT,None,33.753840000000004,-84.49353
150192170,2015-01-19,3540 N CAMP CREEK PKWY SW,AGG ASSAULT,None,33.67051,-84.50298999999998
150192213,2015-01-19,3150 REEVES CIR NW,ROBBERY-RESIDENCE,None,33.75454000000001,-84.49008
150201108,2015-01-20,1700 STANTON RD SW,LARCENY-NON VEHICLE,None,33.71001,-84.44499999999998
150200599,2015-01-20,396 BROWNLEE RD SW,LARCENY-FROM VEHICLE,None,33.746,-84.49750999999998
150211199,2015-01-20,3280 NORTHSIDE PKWY NW,LARCENY-FROM VEHICLE,None,33.844809999999995,-84.42601999999998
150211685,2015-01-21,3201 MARTIN L KING JR DR NW @GORDON VALLEY APTS,AUTO THEFT,None,33.75428,-84.49165
150212720,2015-01-21,3055 DELMAR LN NW,AUTO THEFT,Stratford,33.75581,-84.48740999999998
